EKO 4h of Bulgaria – Final,,,,,,,,,,
10,57.645,56.955,56.947,57.461,58.23,57.9,59.186,56.172,57.685,57.92
20,56.167,56.521,56.148,56.891,56.488,56.424,55.861,56.145,56.879,55.93
30,55.824,56.202,59.138,179.816,56.687,57.226,55.468,55.804,55.436,55.872
40,55.428,56.127,55.537,56.979,56.073,55.472,55.516,56.005,56.952,57.802
50,56.928,55.202,55.858,57.241,55.788,55.801,55.404,55.534,55.064,55.378
60,55.44,55.411,55.2,55.695,56.21,56.201,55.662,55.5,56.054,55.771
70,55.78,177.557,57.127,56.99,57.299,56.564,56.233,57.019,56.816,56.128
80,56.358,56.273,56.302,56.575,57.154,56.8,56.131,56.933,55.892,55.899
90,55.707,56.348,57.348,56.792,56.03,56.872,56.668,56.615,56.141,56.39
100,56.672,56.609,55.686,56.352,56.849,56.333,178.015,57.528,55.963,56.243
110,55.563,55.652,55.633,56.839,55.581,56.48,55.616,55.459,55.972,56.226
120,56.022,56.58,103.566,95.248,89.807,78.54,101.391,58.267,56.952,56.245
130,56.241,56,57.665,56.914,56.792,56.305,56.267,56.703,60.401,179.181
140,58.86,57.13,57.262,56.97,56.639,56.588,58.942,57.559,56.834,56.587
150,60.87,56.715,57.278,57.195,56.545,56.503,57.203,56.143,56.2,56.966
160,56.206,57.272,57.1,56.789,56.345,56.428,56.846,57.578,57.288,56.969
170,57.604,57.32,178.47,179.343,176.699,176.37,181.227,176.708,56.122,57.05
180,57.506,56.701,56.354,56.204,56.54,57.421,56.481,55.567,56.013,176.607
190,56.304,56.438,55.772,56.263,56.634,56.717,58.033,57.558,56.957,59.311
200,58.291,55.954,56.463,59.949,56.062,60.064,57.889,56.042,56.209,55.774
210,55.559,55.423,56.161,55.142,55.609,55.2,55.416,58.258,56.35,55.763
220,56.309,56.014,55.693,56.788,55.782,56.712,55.479,55.132,55.729,
,,,,,,,,,,
8 - HOBBY-KART MONTANA,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,60.151,57.7,57.71,58.167,57.461,56.348,56.782,56.56,56.516
10,56.402,56.927,56.391,57.57,57.09,57.287,57.385,56.462,56.816,180.175
20,56.489,56.46,55.739,56.161,56.064,56.145,56.404,56.986,55.981,57.377
30,55.872,56.168,56.473,56.548,56.072,56.217,56.19,56.976,56.054,55.863
40,179.831,57.194,55.744,55.29,55.813,55.616,55.407,56.476,56.619,55.578
50,55.444,55.814,55.643,55.324,56.354,55.622,55.84,55.739,56.21,56.322
60,55.693,55.837,55.387,55.423,55.992,180.421,58.272,56.617,57.25,56.362
70,56.679,56.21,57.428,56.556,56.688,56.578,56.47,56.53,56.338,56.717
80,56.588,57.142,58.956,56.858,56.675,56.446,178.917,56.999,55.297,56.086
90,56.417,55.449,55.79,55.524,55.631,55.378,180.959,56.609,55.4,55.863
100,55.797,56.627,55.213,55.572,55.548,55.432,55.389,55.33,55.828,179.536
110,58.029,56.687,56.281,56.315,58.073,56.131,98.064,98.777,87.7,77.253
120,93.055,58.999,58.001,58.462,58.722,56.998,57.175,56.565,57.137,56.645
130,57.264,57.48,57.086,56.889,57.53,56.826,57.498,179.738,56.716,55.915
140,56.03,55.86,56.411,56.082,57.165,56.691,56.166,56.384,55.801,57.156
150,57.254,57.804,56.602,56.171,56.425,55.826,55.802,55.973,55.955,55.892
160,56.629,56.439,55.992,55.854,56.314,55.869,55.962,55.684,55.758,56.344
170,55.543,55.595,55.282,55.54,55.877,55.705,55.496,55.98,55.925,56.671
180,56.36,55.694,55.814,55.778,56.658,183.249,56.362,55.736,55.65,55.637
190,55.92,55.765,55.424,55.249,56.759,58.047,55.768,55.405,55.751,56.656
200,56.266,55.439,56.566,56.297,178.645,178.721,180.542,57.093,57.714,57.132
210,58.98,57.765,56.924,57.354,57.483,56.698,56.193,57.152,57.267,56.481
220,58.332,57.219,57.676,57.697,57.158,57.051,57.739,58.684,57.172,
,,,,,,,,,,
40 - BOSCH ECS RACING TEAM,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,58.712,57.714,59.175,56.589,58.758,55.848,57.446,56.37,56.353
10,56.535,57.986,56.332,56.986,56.38,55.428,56.047,56.141,55.83,55.999
20,56.196,56.446,55.864,56.32,55.893,55.808,56.889,56.452,56.25,55.398
30,56.407,55.917,55.619,55.84,55.519,58.575,55.696,55.306,56.448,177.641
40,59.004,57.862,56.803,58.238,59.158,58.071,58.357,56.613,56.393,56.345
50,60.848,57.714,57.729,56.576,57.373,57.142,57.5,57.502,57.519,57.423
60,58.112,57.236,57.987,178.114,56.036,57.095,56.255,55.914,56.332,56.415
70,56.118,56.457,57.879,57.298,55.695,56.764,57.253,57.414,56.225,55.62
80,56.421,56.386,55.964,58.197,56.913,56.643,55.624,55.901,55.997,55.781
90,56.481,55.989,56.063,55.843,56.35,56,56.372,56.529,56.361,56.769
100,55.995,55.934,57.175,56.106,57.516,181.387,55.842,56.372,55.811,55.609
110,55.796,55.252,56.003,56.118,55.311,55.064,55.377,55.207,55.702,55.039
120,56.401,56.52,98.565,95.09,90.419,79.21,96.87,61.808,58.256,57.427
130,57.695,56.808,57.175,55.802,56.484,57.225,57.069,55.894,55.872,56.176
140,56.043,56.159,198.672,58.406,58.365,58.068,59.179,58.025,58.185,58.572
150,60.315,59.124,58.13,58.848,58.312,58.229,58.615,58.109,59.613,59.835
160,59.443,58.42,158.708,180.396,177.194,57.149,57.238,176.24,175.808,55.546
170,55.672,55.849,56.859,55.741,55.46,55.936,56.197,56.519,56.979,56.573
180,56.51,55.747,55.766,56.667,56.102,56.369,176.383,56.304,55.715,55.849
190,55.741,56.785,55.515,56.006,55.241,55.408,55.199,54.918,55.505,55.343
200,56.291,57.205,55.167,55.503,55.42,55.051,55.154,55.781,55.229,55.176
210,55.063,55.209,55.344,55.608,175.769,55.383,55.408,56.075,54.937,55.079
220,55.373,55.637,55.286,54.931,56.339,55.58,55.772,55.384,55.664,
,,,,,,,,,,
33 - GDK  RACE  TEAM,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,59.809,58.992,57.386,57.567,57.912,57.47,58.597,56.62,57.018
10,57.094,57.549,56.966,57.413,58.233,58.439,179.007,56.697,55.677,55.469
20,56.373,56.861,56.74,55.872,56.506,56.269,55.531,55.899,56.007,55.948
30,56.597,56.452,56.198,56.19,56.124,56.414,55.848,55.733,55.704,55.885
40,55.917,55.983,55.909,56.129,177.681,56.681,56.589,57.629,58.413,57.565
50,58.277,59.159,57.259,57.616,56.747,56.851,57.928,57.289,58.165,57.087
60,57.327,56.933,58.59,56.828,57.156,57.956,56.93,57.682,179.797,57.225
70,57.152,57.833,56.425,56.804,57.021,57.236,57.438,57.877,56.288,56.6
80,56.745,56.757,56.646,57.083,56.362,56.347,56.367,56.963,56.502,57.6
90,56.913,56.912,57.231,56.149,57.667,57.057,175.799,56.703,56.71,56.126
100,55.58,56.308,56.354,71.599,56.453,56.185,56.105,55.812,55.519,56.145
110,56.357,55.621,56.178,56.372,55.682,55.711,55.923,55.967,56.161,106.222
120,94.071,88.946,78.419,100.708,60.278,57.731,56.306,56.295,59.112,56.553
130,56.431,55.762,56.826,56.436,177.727,56.344,56.1,56.353,56.414,56.313
140,56.568,56.605,56.581,56.397,57.079,58.444,57.171,180.004,57.524,57.285
150,58.354,57.133,57.385,60.539,57.298,57.336,57.452,58.136,176.632,56.961
160,56.136,56.28,56.395,56.695,56.5,56.655,56.248,56.339,56.828,176.843
170,56.318,56.059,55.947,57.129,56.18,56.439,56.293,178.328,56.631,57.06
180,56.842,56.599,57.292,57.098,56.859,57.095,56.467,57.429,57.581,57.407
190,57.057,175.956,55.857,55.236,55.881,55.429,55.53,55.698,55.864,55.844
200,55.171,55.705,55.683,55.429,55.514,55.591,55.795,181.703,55.818,55.982
210,57.659,55.963,55.972,55.982,56.833,56.187,56.342,56.437,56.545,57.165
220,56.654,56.3,56.348,57.44,56.479,56.198,56.144,56.825,,
,,,,,,,,,,
22 - REVANE,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,61.549,58.22,57.141,57.5,58.369,58.733,56.764,57.434,56.706
10,56.692,56.629,57.619,57.406,57.534,57.617,58.465,179.952,58.01,56.668
20,57.466,56.726,56.945,57.033,56.484,57.64,57.453,179.398,57.865,56.46
30,56.18,56.286,57.78,55.985,56.819,56.023,56.019,56.15,56.968,56.304
40,179.508,56.206,57.367,55.838,56.548,56.065,56.3,56.522,56.205,56.13
50,56.254,55.897,56.436,56.285,55.94,179.356,57.201,56.61,57.557,57.449
60,57.753,57.478,57.603,56.79,57.708,58.375,56.449,57.996,58.057,57.275
70,57.373,56.975,56.836,59.26,56.961,56.969,57.891,57.308,178.649,56.514
80,56.281,56.657,56.638,57.086,55.764,56.335,56.019,56.88,56.054,56.351
90,56.634,56.897,56.298,56.511,56.388,56.535,56.24,56.478,57.238,176.29
100,57.126,57.528,56.191,56.412,56.13,56.081,57.906,55.67,56.411,56.601
110,56.882,55.845,55.918,56.619,57.798,98.354,98.266,85.596,79.2,93.489
120,59.014,60.094,57.804,59.213,60.576,58.68,59.315,57.333,56.412,57.473
130,182.809,56.946,57.043,57.748,56.585,56.446,56.746,58.009,56.299,56.487
140,56.918,55.942,56.45,56.383,56.126,56.229,56.84,56.172,56.428,56.132
150,56.252,59.209,56.852,177.046,56.487,57.245,56.648,57.033,56.467,56.729
160,56.326,56.298,56.665,56.434,57.952,56.058,56.183,56.8,55.793,56.361
170,57.505,56.386,180.635,57.297,56.284,56.922,56.384,56.146,56.745,57.636
180,56.365,56.837,56.829,56.003,56.435,56.436,56.383,56.457,57.212,176.094
190,56.407,55.767,56.015,56.075,55.805,56.434,56.651,55.448,56.532,56.443
200,56.574,56.231,56.101,55.988,56.379,56.545,180.021,56.366,55.763,56.333
210,56.507,55.889,55.544,56.662,55.786,56.095,57.185,56.201,55.629,55.507
220,56.268,57.554,55.747,56.529,55.558,55.98,56.148,58.101,,
,,,,,,,,,,
21 - RUN FOR FUN,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,58.644,57.857,58.029,57.954,57.817,57.824,57.997,57.571,57.316
10,57.864,58.557,57.361,57.139,57.813,58.228,58.954,57.021,57.304,57.596
20,56.771,57.115,57.257,58.164,56.582,57.211,56.789,56.979,57.252,57.115
30,57.052,57.566,56.956,56.769,57.231,56.677,56.773,57.777,56.865,178.121
40,58.452,56.663,56.554,57.157,56.753,56.422,56.455,56.187,56.252,55.831
50,57.475,56.502,56.626,57.121,57.07,56.903,56.664,57.223,57.288,62.681
60,57.132,56.556,56.95,57.404,56.913,56.526,58.061,57.391,56.571,56.864
70,56.567,56.534,56.412,57.348,57.319,57.056,57.255,178.112,57.956,57.042
80,56.532,57.019,58.42,56.723,56.006,56.195,56.623,56.186,56.772,56.105
90,57.261,57.822,58.151,55.798,56.495,56.501,56.825,56.237,56.492,57.212
100,57.272,56.646,57.155,56.754,56.554,56.413,56.997,56.125,56.526,56.341
110,177.659,58.989,57.633,56.399,56.827,56.22,55.463,56.575,56.904,57.047
120,55.519,99.279,95.301,89.184,78.602,98.965,58.929,57.885,60.482,56.689
130,57.386,56.609,55.65,56.295,56.087,56.53,55.913,56.018,56.26,57.55
140,56.778,56.297,56.312,192.221,58.701,59.417,57.545,57.174,57.829,57.446
150,56.981,56.543,56.934,57.497,57.317,56.901,57.052,58.803,57.038,56.796
160,58.239,56.81,56.926,56.857,56.664,56.821,56.622,56.249,56.505,56.47
170,56.271,56.417,56.857,56.358,56.688,57.125,179.354,56.695,56.424,56.909
180,55.711,55.745,55.683,56.521,55.75,56.664,56.868,180.195,56.655,56.134
190,177.458,56.977,178.204,57.623,177.685,177.353,57.037,56.289,57.219,56.974
200,56.61,56.266,56.193,56.666,55.954,57.487,56.831,57.231,56.109,56.74
210,56.843,56.395,56.434,56.171,177.003,56.592,57.028,56.764,55.686,55.916
220,55.276,55.307,56.009,55.26,55.897,55.779,55.83,,,
,,,,,,,,,,
14 - KOCHIDA GP,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,60.633,58.348,56.998,57.738,57.408,56.789,57.292,56.867,56.211
10,56.076,57.056,57.002,56.706,56.391,56.376,177.597,57.336,56.973,69.643
20,56.9,56.485,56.298,56.938,57.085,56.858,56.927,56.554,56.82,57.256
30,56.353,56.636,56.584,57.656,57.474,57.332,57.144,177.631,58.947,58.5
40,58.193,58.243,57.279,57.372,58.536,57.427,57.105,57.51,58.882,56.831
50,57.715,57.463,58.136,57.724,57.879,58.505,58.417,178.972,57.415,56.832
60,56.763,56.563,56.856,57.187,57.251,56.178,56.381,56.801,56.455,57.449
70,56.367,56.531,56.798,55.994,57.164,57.059,56.771,57.061,57.42,197.594
80,58.35,56.606,55.866,56.076,56.713,56.06,57.391,56.494,57.187,56.559
90,55.816,56.247,56.666,56.955,55.817,176.677,57.474,56.931,56.518,56.687
100,56.791,56.324,57.246,56.826,56.214,57.539,57.292,57.468,56.979,56.879
110,56.285,58.164,57.914,57.202,56.578,56.842,105.481,94.287,88.806,78.599
120,101.329,58.885,56.769,59.892,73.472,58.114,58.006,177.81,56.829,56.122
130,55.867,56.733,55.56,55.702,55.568,55.849,55.318,56.188,55.788,55.772
140,55.531,55.286,55.646,55.483,55.885,55.368,55.685,56.156,55.672,55.509
150,55.493,55.425,56.031,55.768,55.618,56.308,56.264,178.723,56.907,58.637
160,57.459,57.578,57.64,56.806,56.981,58.143,58.219,56.58,57.411,58.24
170,57.847,59.016,56.8,181.771,57.939,56.291,57.311,57.549,57.23,57.283
180,56.993,57.62,57.698,57.067,56.904,57.174,57.816,56.35,57.692,57.551
190,57.402,58.691,180.585,56.539,56.655,56.351,56.446,57.293,57.445,57.356
200,57.061,57.003,57.046,56.166,56.507,56.827,56.146,182.473,56.812,56.666
210,56.107,177.005,55.403,55.18,55.734,58.004,56.575,55.437,56.512,55.875
220,55.733,55.855,56.609,59.794,58.533,58.433,,,,
,,,,,,,,,,
9 - SKR JUNIOR 2,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,59.214,57.636,58.087,57.722,57.03,57.765,57.333,56.079,56.361
10,56.487,57.055,55.838,56.516,56.655,56.019,55.799,56.296,56.155,55.875
20,56.981,56.23,56.149,55.843,56.725,57.048,56.242,56.539,56.851,56.799
30,56.411,58.021,55.873,56.073,56.144,55.888,55.976,56,55.956,176.67
40,58.224,57.654,57.831,57.915,57.202,58.202,57.361,57.557,56.41,58.033
50,58.569,57.247,57.091,57.612,57.433,57.814,57.142,57.485,57.937,57.551
60,56.885,57.901,57.029,57.24,58.105,57.197,57.684,57.721,58.319,58.358
70,57.456,57.006,58.167,57.893,58.827,58.488,58.63,179.224,60.6,58.474
80,58.638,58.071,59.612,58.05,57.228,57.969,57.364,58.913,56.807,57.068
90,57.721,57.644,57.416,57.751,57.373,57.759,57.393,58.191,57.991,58.163
100,58.295,57.376,57.563,57.804,57.371,57.084,57.596,57.424,58.585,57.379
110,58.248,177.874,56.898,56.089,55.907,56.241,56.106,56.316,55.685,56.314
120,56.336,92.072,100.23,91.026,73.168,90.177,58.207,57.909,57.134,58.275
130,60.755,58.522,57.429,56.365,57.376,56.654,56.165,56.357,56.502,56.563
140,56.935,56.128,55.939,56.114,56.397,55.437,55.919,55.856,56.927,178.596
150,58.06,57.855,58.19,59.678,57.374,57.719,57.514,58.401,58.539,57.727
160,58.142,59.091,58.258,57.975,58.328,57.466,58.334,59.163,58.717,58.683
170,57.505,58.615,58.244,57.817,57.209,177.046,57.512,58.083,58.422,57.498
180,57.402,57.419,58.38,58.529,58.397,56.559,57.194,57.526,57.959,58.738
190,57.474,57.328,57.061,57.369,58.395,58.279,57.374,57.11,58.028,57.389
200,178.591,177.824,176.707,176.187,176.904,186.355,57.299,56.873,58.05,57.021
210,56.48,56.984,56.616,56.86,56.966,57.023,56.621,57.076,56.622,57.83
220,57.324,56.938,56.855,56.815,56.73,58.373,,,,
,,,,,,,,,,
41 - HEAT RACING TEAM,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,59.437,57.969,56.784,58.737,57.945,56.705,57.685,56.278,57.17
10,58,56.968,56.492,56.08,56.388,56.227,56.282,183.728,60.57,58.131
20,59.262,61.558,59.148,57.838,57.123,56.786,59.813,56.666,56.831,58.142
30,59.627,58.348,179.604,57.257,55.529,57.396,57.076,56.02,56.473,57.834
40,57.545,59.147,65.966,56.289,55.788,56.409,56.707,57.237,55.925,56.839
50,56.028,57.11,55.833,177.537,59.096,59.136,56.022,56.425,57.51,58.519
60,56.969,57.383,57.566,58.339,58.262,58.668,179.228,56.108,56.464,56.371
70,56.109,55.687,56.478,56.279,55.786,55.825,55.972,56.007,56.383,57.186
80,55.624,56.206,55.697,177.319,60.554,60.544,58.703,62.134,62.096,57.295
90,56.811,58.411,57.089,59.974,56.944,57.516,57.898,57.83,56.6,56.901
100,58.011,56.845,57.181,180.135,57.549,55.692,56.364,56.697,56.117,56.323
110,55.754,56.421,57.16,55.711,98.395,98.396,86.943,78.178,93.209,59.176
120,59.313,58.06,59.243,61.964,58.847,58.087,58.246,181.637,59.113,58.308
130,60.795,60.858,59.259,57.107,59.598,59.137,56.873,59.966,59.136,57.075
140,178.295,56.737,57.503,56.678,59.704,59.124,57.093,56.961,56.235,56.607
150,56.156,56.882,57.144,57.764,57.968,57.159,56.697,58.717,57.274,56.48
160,56.745,56.577,57.824,177.202,56.887,56.882,56.88,58.388,58.806,56.2
170,56.745,57.452,56.791,57.071,176.937,55.177,56.138,55.887,55.961,56.016
180,56.011,55.951,56.642,55.229,55.893,55.844,56.03,56.033,57.484,55.736
190,55.616,55.799,55.805,56.733,55.849,55.944,55.738,56.569,56.473,56.981
200,56.059,64.791,58.26,56.585,56.207,176.617,57.131,56.708,58.496,56.989
210,57.354,59.039,58.787,56.814,56.145,56.744,56.237,57.064,59.856,56.976
220,57.078,57.451,56.442,58.194,56.65,57.653,,,,
,,,,,,,,,,
36 - GHOST RIDER,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,58.609,59.278,58.309,58.005,58.186,59.298,58.635,57.324,56.924
10,56.659,56.691,58.786,56.772,56.861,57.086,58.812,60.254,57.366,179.925
20,59.378,57.699,59.246,57.414,58.44,59.111,58.239,59.217,59.281,58.255
30,62.188,61.229,179.955,57.319,56.226,57.775,56.436,56.369,56.859,56.5
40,57.037,56.291,56.512,56.843,58.824,56.652,57.272,57.16,57.31,60.107
50,57.321,57.715,56.673,57.217,57.776,57.406,57.301,57.512,56.821,176.945
60,57.824,58.671,57.511,57.406,57.916,56.626,57.914,58.522,57.632,56.747
70,57.557,57.588,57.527,57.297,57.672,59.126,58.94,56.416,57.157,57.804
80,57.584,56.427,56.791,56.85,57.091,193.926,59.293,56.621,56.442,56.693
90,59.95,56.419,56.684,56.22,58.768,56.439,57.445,57.68,58.315,56.364
100,57.672,56.43,57.602,178.783,57.469,177.091,57.773,56.527,57.625,56.939
110,57.856,56.627,57.573,103.911,95.043,89.429,78.65,101.753,61.747,59.288
120,62.139,60.186,60.551,59.34,59.996,180.862,57.882,57.117,56.989,57.702
130,57.613,57.792,57.307,57.881,57.391,57.053,57.317,57.986,57.434,57.161
140,57.353,57.624,59.507,57.054,57.288,56.841,57.22,57.533,57.49,56.942
150,57.04,56.917,56.702,56.861,57.003,178.735,56.788,58.154,56.305,57.144
160,57.417,57.772,57.033,56.015,55.924,56.97,56.82,56.698,56.891,56.279
170,56.37,56.56,56.619,56.299,56.448,56.455,56.45,55.988,56.725,57.312
180,55.924,55.823,56.05,56.544,57.261,56.22,56.845,56.124,56.738,57.57
190,56.726,57.359,179.258,58.785,57.191,57.334,57.058,58.109,57.037,57.106
200,59.447,57.953,56.396,56.707,57.268,57.131,59.458,60.206,177.373,57.335
210,57.054,177.323,56.415,55.894,56.157,55.909,56.646,55.758,56.178,55.923
220,56.128,56.258,55.658,56.988,56.745,,,,,
,,,,,,,,,,
26 - KARTΕΛ RACING TEAM,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,59.632,58.891,57.269,58.505,60.125,58.561,56.974,57.053,57.107
10,56.731,56.48,57.709,56.079,57.069,57.243,57.893,56.227,57.284,56.625
20,56.467,179.16,58.585,58.153,57.385,57.607,57.156,57.802,58.626,57.08
30,57.584,58.517,57.746,57.858,58.417,59.361,57.62,59.526,57.438,57.416
40,59.476,58.456,58.265,57.738,59.747,58.377,182.372,60.009,57.938,58.566
50,57.51,57.984,57.763,58.249,58.506,56.525,56.815,58.327,57.099,56.88
60,56.68,58.165,57.272,57.125,57.406,57.815,56.866,58.119,56.981,56.519
70,57.099,58.459,57.63,179.921,58.772,56.506,57.282,56.733,56.846,56.339
80,57.76,56.377,55.956,55.93,56.294,56.727,55.892,56.657,57.091,57.092
90,57.075,181.809,60.207,57.65,76.387,59.179,59.194,60.128,59.788,59.371
100,60.201,59.247,183.051,57.277,57.434,56.522,57.443,56.68,57.553,57.408
110,57.084,57.074,57.283,57.933,57.537,98.121,95.428,90.367,79.144,96.417
120,61.402,58.162,58.164,60.214,59.677,57.061,56.862,57.341,57.089,57.569
130,56.665,56.588,183.61,57.974,56.035,56.056,56.274,56.332,56.49,56.892
140,56.768,55.902,56.201,56.073,56.741,55.65,57.134,57.481,56.8,184.631
150,56.993,57.885,57.872,57.06,57.391,57.381,57.512,57.873,60.823,58.506
160,58.211,59.672,57.928,187.145,56.658,57.391,57.179,57.519,57.245,57.432
170,56.428,57.59,56.621,56.784,57.414,57.581,57.346,58.109,57.311,56.414
180,56.291,57.233,56.667,56.196,57.118,56.683,57.1,183.316,56.353,56.166
190,56.223,57.075,56.38,57.518,57.017,56.959,57.013,56.378,56.479,55.999
200,57.35,55.961,188.521,60.048,58.871,57.788,57.763,57.793,58.497,58.403
210,57.936,183.566,56.822,56.056,56.498,55.887,57.307,56.492,56.404,57.089
220,56.211,56.51,56.522,57.097,,,,,,
,,,,,,,,,,
46 - KIS,,,,,,,,,,
,,,,,,,,,,
Laps,1,2,3,4,5,6,7,8,9,10
,-,57.916,60.858,57.241,57.491,58.326,59.194,57.406,57.092,56.859
10,56.545,56.706,57.548,56.749,57.167,58.62,59.253,58.108,57.401,181.704
20,60.34,58.003,59.642,57.076,59.199,58.945,57.01,59.434,56.893,59.26
30,57.661,57.954,58.821,56.981,56.963,57.306,57.038,57.46,59.339,186.341
40,57.788,57.417,56.402,56.073,56,55.941,56.53,56.962,57.08,59.451
50,57.5,57.563,57.572,57.205,57.77,58.624,56.262,57.293,57.093,183.255
60,58.336,58.333,58.567,56.488,57.705,57.739,57.255,58.404,57.916,58.213
70,58.759,59.102,59.266,58.496,59.815,58.032,58.071,180.19,57.236,56.085
80,55.965,56.839,56.109,56.641,56.427,56.197,56.442,56.558,55.923,56.219
90,177.633,58.037,57.625,57.761,56.719,59.446,58.537,57.294,57.045,58.774
100,57.21,58.137,61.315,181.045,79.937,57.288,57.117,58.151,57.511,57.04
110,56.818,56.714,57.757,96.303,98.665,89.664,75.864,92.804,57.567,59.365
120,58.503,59.715,60.231,57.663,58.822,58.357,58.099,58.518,182.509,57.955
130,58.066,59.531,57.642,56.868,58.053,58.291,58.728,57.832,59.321,57.07
140,57.802,59.45,57.422,66.19,58.678,59.724,59.562,59.612,177.997,57.36
150,56.38,57.437,55.814,56.079,56.471,57.028,55.472,55.649,55.715,55.766
160,56.015,56.06,56.227,58.306,59.459,257.05,57.923,58.63,59.662,57.882
170,57.932,59.013,57.881,59.081,58.021,59.312,58.686,58.418,58.179,58.421
180,56.846,58.228,59.239,58.852,58.185,186.427,56.543,56.205,56.178,56.71
190,56.49,57.674,57.627,55.998,56.751,58.973,57.028,56.822,181.781,56.838
200,56.895,57.871,57.678,57.784,58.5,59.493,57.342,58.49,61.788,180.46
210,56.242,56.427,57.072,56.537,55.476,55.605,58.391,56.721,56.899,65.813
